Препарат,Объем,"Цена, ₽"
,,
,,
Filorga NCTF 135 HA,3 мл,11900
Мезоксантин,"1,5 мл",12500
Мезовартон,"1,5 мл",12500
Karisma,2 мл,19900
Novacutan,"1,5 мл",13400
"Beautelle 30+ (гиалуроновая кислота 10%)
для молодой кожи и области вокруг глаз",2 мл,10500
Beautelle 40+ (гиалуроновая кислота 15%),2 мл,11500
Beautelle Age+ (гиалуроновая кислота 20%),2 мл,12500
Beautyfarma HyalAmin (гиалуроновая кислота и аминокислоты),3 мл,6500
Beautyfarma Hyal (гиалуроновая кислота 3%),3 мл,7500
Fusion - HA (гиалуроновая кислота 2%) Испания,3 мл,5000
Hyaron (гиалуроновая кислота 10%) Корея,"2,5 мл",4900
Gemvous (гиалуроновая кислота 20% + полинуклеотиды + ниацинамид) корея,"2,5 мл",4900
Profhilo (гиалуроновая кислота 32%) Италия,2 мл,18000
Neauvia Mydro Deluxe (гиалуроновая кислота 18% + кальций) Италия,"2,5 мл",8700
Aquashine,2 мл,6800
Мезоай,"1,5 мл",11600
Teosyal Redensity 1,3 мл,15000
Revi strong,2 мл,15500
Revi silk,2 мл,14000
Revi style,2 мл,11800
