Процедура,Время,,"Цена, ₽"
Миндальный пилинг SESDERMA,45 мин,,4000
Салициловый пилинг SESDERMA,45 мин,,4500
Желтый пилинг SESDERMA,45 мин,,4000
Азелаиновый пилинг SESDERMA,45 мин,,5000
Пилинг Джесснера,45 мин,,5000
Гликолевый пилинг SESDERMA,45 мин,,5000
Молочный пилинг SESDERMA,45 мин,,5000
Желтый пилинг SESDERMA,45 мин,,5500
PRX-T33,45 мин,,5500
Bio Re Peel,45 мин,,5500
ABR professional (поверхностно-срединный пилинг для жирной кожи),45 мин,,5500
ABR deep  (поверхностный пилинг для всех типов кожи),45 мин,,4500
ALPHA complex (поверхностный пилинг фруктовые кислоты),45 мин,,4000
ABR bio (пилинг для кожи с куперозом),45 мин,,4500
ABR lifting,45 мин,,4500
ABR forte (лечение акне),45 мин,,5000
Hydro-peel(пилинг для сухой кожи) Beautyfarma,45 мин,,3500
"Whitening peptide peel(от пигментации,с гиалуроновой кислотой) Beautyfarma",45 мин,,3900
