Процедура,Время,"Цена,  ₽"
"Мезороллер (очищение, скраб, анестезия, сыворотка, мезороллер, маска, крем)",60 мин,4900
"Карбокситерапия (очищение, скраб, двухкомпонентная маска, сыворотка, массаж, крем)",60 мин,4900
"Стоун терапия для лица (очищение, скраб, альгинатная маска, сыворотка, массаж камнями, маска)",60 мин,4900
"Уход по типу кожи(очищение, тонизация, гоммаж, сыворотка, массаж, маска, крем)",90 мин,4500
"Микротоки(очищение, микротоки, маска, крем)",60 мин,2900
Микротоки+уход,60 мин,4900
Микротоки+массаж,60 мин,3900
"Жирная кожа Youtful soothing (очищение, скраб, дезинфицирующий лосьон, маска, массаж 15 минут, крем)",60 мин,3900
"Восстановление сухой кожи Renew formula (очищение, скраб, сыворотка, массаж 15 мин, маска, крем)",70 мин,3900
"Увлажнение Vitalise(очищение, скраб, сыворотка, массаж 15 мин, маска, крем)",60 мин,3900
"Лифтинг Derfectime Fiming (очищение, скраб, сыворотка, массаж 15 мин, маска, крем)",30 мин,3900
"Питание Lactolan (очищение, скраб, сыворотка, массаж 15 мин, маска, крем)",30 мин,3900
"Восстановление Juverlist Mourish (очищение, скраб, сыворотка, массаж 15 мин, маска, крем)",20 мин,3900
"Осветление Dermaling Lighting (очищение, скраб, осветляющий тоник, осветляющая сыворотка, массаж, маска, крем)",60 мин,3900
